agency_id,agency_name,agency_url,agency_fare_url,agency_timezone,agency_phone
ARR,Arriva,https://www.arriva.nl,https://www.arriva.nl/eticket,Europe/Amsterdam,0031900-2022022
BRAVO:ARR,Bravo (Arriva),http://www.bravo.info,https://www.arriva.nl/eticket,Europe/Amsterdam,0031800-0232545
CXX,Connexxion,http://www.connexxion.nl,https://eticket.connexxion.nl/,Europe/Amsterdam,0031900-2666399
EBS,EBS,http://www.ebs-ov.nl,,Europe/Amsterdam,0031800-0327
IFF:NS,NS,http://www.ns.nl,http://www.ns.nl/eticket,Europe/Amsterdam,003130-7515155
IFF:NSI,NS International,http://www.nsinternational.nl,,Europe/Amsterdam,0031302300023
QBUZZ,Qbuzz,http://www.qbuzz.nl,,Europe/Amsterdam,0031900-7289965
RET,RET,http://www.ret.nl,,Europe/Amsterdam,0031900-5006010
SYNTUS:UT,Syntus Utrecht,http://www.syntusutrecht.nl,,Europe/Amsterdam,003188-0331360
WATERBUS,Waterbus,http://www.waterbus.nl,http://www.waterbus.nl/tickets,Europe/Amsterdam,0031800-0232545
