route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
32518,542,118921360,RET:601:150266,Delft via Berkel,,Streekbus,0,,947743.0,0,
32518,542,118921353,RET:601:150253,Berkel Westpolder,,Streekbus,0,,947743.0,0,
32518,542,118921343,RET:601:150239,Rotterdam Noord via Berkel,,Streekbus,1,,947744.0,0,
75871,542,118920332,RET:15:149287,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920336,RET:15:149293,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920310,RET:15:149255,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920314,RET:15:149259,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920296,RET:15:149235,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920300,RET:15:149240,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920279,RET:15:149208,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920271,RET:15:149198,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920263,RET:15:149186,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920252,RET:15:149171,Zuidplein,,Frequentbus,1,,947686.0,0,
75871,542,118920247,RET:15:149164,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920212,RET:15:149114,Zuidplein,,Frequentbus,1,,947686.0,0,
75871,542,118920199,RET:15:149093,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920192,RET:15:149083,Zuidplein,,Frequentbus,1,,947686.0,0,
75871,542,118920154,RET:15:149030,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,542,118920159,RET:15:149036,Zuidplein,,Frequentbus,1,,947686.0,0,
32514,542,118920148,RET:13:149025,Bedr.park Noord-West,,Stadsbus,0,,899200.0,0,
32512,542,118919934,RET:11:149003,Rotterdam Centraal,,Streekbus,1,,919692.0,0,
32512,542,118919910,RET:11:148875,Station Delft,,Streekbus,0,,945654.0,0,
32512,542,118919905,RET:11:148867,Station Delft,,Streekbus,0,,945654.0,0,
32512,542,118919890,RET:11:148840,Station Delft,,Streekbus,0,,945654.0,0,
75753,542,118919856,RET:10:148785,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75753,542,118919852,RET:10:148779,Rotterdam Centraal,,Frequentbus,0,,943343.0,0,
75753,542,118919819,RET:10:148731,Crooswijk via R'dam CS,,Frequentbus,0,,943343.0,0,
75753,542,118919809,RET:10:148713,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75753,542,118919805,RET:10:148707,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75753,542,118919785,RET:10:148680,Rotterdam Centraal,,Frequentbus,0,,943343.0,0,
75753,542,118919776,RET:10:148664,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75753,542,118919719,RET:10:148580,Crooswijk via R'dam CS,,Frequentbus,0,,943343.0,0,
75753,542,118919715,RET:10:148574,Rotterdam Centraal,,Frequentbus,0,,943343.0,0,
75753,542,118919662,RET:10:148496,Rotterdam Centraal,,Frequentbus,0,,943343.0,0,
75753,542,118919676,RET:10:148516,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
32563,542,118921164,RET:6:148465,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
32563,542,118921105,RET:6:148383,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
32563,542,118921109,RET:6:148388,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
32563,542,118921086,RET:6:148357,Centraal Station via Airport,,Frequentbus,1,,919756.0,0,
32563,542,118921058,RET:6:148319,Centraal Station via Airport,,Frequentbus,1,,919756.0,0,
32563,542,118921057,RET:6:148318,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
32563,542,118921038,RET:6:148294,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
32563,542,118920988,RET:6:148224,Rotterdam Airport,,Frequentbus,0,,919758.0,0,
32566,542,118920782,RET:5:148214,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920770,RET:5:148198,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920766,RET:5:148192,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920718,RET:5:148120,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920701,RET:5:148095,Station Zuid,,Frequentbus,0,,899301.0,0,
32566,542,118920694,RET:5:148084,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920680,RET:5:148063,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920643,RET:5:148012,Station Zuid,,Frequentbus,0,,899301.0,0,
32566,542,118920636,RET:5:148002,Overschie,,Frequentbus,1,,945683.0,0,
32566,542,118920603,RET:5:147957,Station Zuid,,Frequentbus,0,,899301.0,0,
73468,1529,121616343,QBUZZ:m388:6060,Utrecht via Papendrecht,,Snelbuzz,1,,939265.0,1,
73468,1529,121616327,QBUZZ:m388:6025,Rotterdam via Sliedrecht,,Snelbuzz,0,,939264.0,1,
73468,1529,121616329,QBUZZ:m388:6030,Utrecht via Papendrecht,,Snelbuzz,1,,939265.0,1,
59426,1783,123561495,IFF:HSN:9223,Amsterdam Centraal,9223.0,Intercity direct,0,,903437.0,0,
30601,2790,123086067,CXX:Z172:2017,Oud-Beijerland,,Sneldienst,0,,900242.0,1,
30601,2790,123086062,CXX:Z172:2007,Oud-Beijerland,,Sneldienst,0,,900241.0,1,
30601,2790,123086084,CXX:Z172:2051,Oud-Beijerland,,Sneldienst,0,,900242.0,1,
30601,2790,123086072,CXX:Z172:2027,Oud-Beijerland,,Sneldienst,0,,900242.0,1,
25834,2851,123675104,ARR:18018:6014,Rotterdam Heijplaat RDM,,Waterbus,1,,906401.0,1,1.0
17748,407,123734080,IFF:SPR:4040,Uitgeest,4040.0,Sprinter,1,,928217.0,0,1.0
41202,838,121352710,IFF:IC:2238,Vlissingen,2238.0,Intercity,1,,902150.0,0,1.0
54146,1112,121551167,ARR:23310:1051,Bergen op Zoom,,,0,,905252.0,1,
63635,1958,123087582,CXX:Z436:7014,Ouddorp Bernhardweg,,R-NET,1,,934545.0,1,
63635,1958,123087587,CXX:Z436:7019,Rotterdam Zuidplein,,R-NET,0,,930195.0,1,
41210,2085,123115309,IFF:IC:657,Leeuwarden,657.0,Intercity,0,,903124.0,0,1.0
72564,2790,125352680,EBS:3037:1029,R'dam Airport via Delft,,,0,,919577.0,1,
72564,2790,125352673,EBS:3037:1022,Den Haag via Delft,,,1,,919576.0,1,
72564,2790,125352656,EBS:3037:1005,R'dam Airport via Delft,,,0,,919577.0,1,
17614,2837,123726253,IFF:IC:564,Rotterdam Centraal,564.0,Intercity,1,,903051.0,0,1.0
30577,3209,123430977,CXX:Z166:7022,Dordrecht CS,,,1,,918638.0,1,
30577,3209,123430973,CXX:Z166:7018,Dordrecht CS,,,1,,918638.0,1,
30577,3209,123430971,CXX:Z166:7016,Dordrecht CS,,,1,,918638.0,1,
17748,527,123734049,IFF:SPR:4035,Rotterdam Centraal,4035.0,Sprinter,0,,903931.0,0,1.0
17748,1782,123734178,IFF:SPR:4054,Uitgeest,4054.0,Sprinter,1,,928217.0,0,1.0
17748,1782,123734143,IFF:SPR:4048,Uitgeest,4048.0,Sprinter,1,,928217.0,0,1.0
17614,2605,123726346,IFF:IC:584,Rotterdam Centraal,584.0,Intercity,1,,937516.0,0,1.0
66117,2605,123733222,IFF:IC:3752,Venlo,3752.0,Intercity,1,,902905.0,0,1.0
17614,2605,123114870,IFF:IC:520,Rotterdam Centraal,520.0,Intercity,1,,948183.0,0,1.0
67435,2790,121456014,ARR:17175:1004,Rotterdam Alexander,,,1,,938284.0,1,
67435,2790,121456043,ARR:17175:1033,Gouda,,,0,,938283.0,1,
52906,2790,121456204,ARR:17190:1025,Gouda,,,0,,938298.0,1,
52878,2790,121456251,ARR:17194:1014,Rotterdam Capelsebrug,,,1,,938301.0,1,1.0
52878,2790,121456260,ARR:17194:1023,Lekkerkerk,,,0,,938300.0,1,1.0
52878,2790,121456269,ARR:17194:1032,Rotterdam Capelsebrug,,,1,,938301.0,1,1.0
52878,2790,121456286,ARR:17194:1049,Bergambacht,,,0,,938300.0,1,1.0
52904,2790,121456311,ARR:17196:1018,Rotterdam Capelsebrug,,,1,,938305.0,1,1.0
52897,2790,121456665,ARR:17383:1019,Zoetermeer,,Q-liner,0,,938343.0,1,
52897,2790,121456678,ARR:17383:1032,Krimpen a/d IJssel,,Q-liner,1,,938342.0,1,
52897,2790,121456668,ARR:17383:1022,Rotterdam Capelsebrug,,Q-liner,1,,938341.0,1,
52897,2790,121456667,ARR:17383:1021,Zoetermeer,,Q-liner,0,,938343.0,1,
67435,2790,121456041,ARR:17175:1031,Gouda,,,0,,938283.0,1,
52906,2790,121456214,ARR:17190:1035,Gouda,,,0,,938298.0,1,
52878,2790,121456244,ARR:17194:1007,Lekkerkerk,,,0,,938300.0,1,1.0
52878,2790,121456285,ARR:17194:1048,Rotterdam Capelsebrug,,,1,,938301.0,1,1.0
52904,2790,121456324,ARR:17196:1032,Rotterdam Capelsebrug,,,1,,938305.0,1,1.0
66726,2790,121456390,ARR:17295:8005,Utrecht Centraal,,,0,,938325.0,1,
52900,2790,121456358,ARR:17292:8003,Lekkerkerk,,,0,,938318.0,1,
52900,2790,121456370,ARR:17292:8015,Lekkerkerk,,,0,,938318.0,1,
52900,2790,121456360,ARR:17292:8005,Lekkerkerk,,,0,,938318.0,1,
315,2998,125583120,ARR:15020:1095,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
315,2998,125583083,ARR:15020:1020,Dordrecht Merwekade,,Waterbus,1,,909400.0,1,1.0
315,2998,125583094,ARR:15020:1043,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
315,2998,125583101,ARR:15020:1056,Dordrecht Merwekade,,Waterbus,1,,909400.0,1,1.0
315,1,122670486,ARR:15020:1083,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
315,1,122670451,ARR:15020:1012,Dordrecht Merwekade,,Waterbus,1,,909400.0,1,1.0
315,1,122670473,ARR:15020:1056,Dordrecht Merwekade,,Waterbus,1,,909400.0,1,1.0
315,1,122670490,ARR:15020:1091,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
315,1,122670472,ARR:15020:1055,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
315,1,122670500,ARR:15020:1112,Dordrecht Merwekade,,Waterbus,1,,909400.0,1,1.0
30576,542,123082730,CXX:Z160:51,Rotterdam Zuidplein,,,0,,930189.0,1,
30576,542,123428944,CXX:Z160:54,Goudswaard N. v. Puttenstr.,,,1,,930191.0,1,
30576,542,123082722,CXX:Z160:43,Rotterdam Zuidplein,,,0,,930189.0,1,
30576,542,123428930,CXX:Z160:40,Goudswaard N. v. Puttenstr.,,,1,,930191.0,1,
75753,1543,122706771,RET:10:224166,Crooswijk via R'dam CS,,Frequentbus,0,,943343.0,0,
32563,1543,122707453,RET:6:223946,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
32563,1543,122707428,RET:6:223913,Centraal Station via Airport,,Frequentbus,1,,919756.0,0,
32566,1543,122707199,RET:5:223749,Overschie,,Frequentbus,1,,945683.0,0,
32566,1543,122707158,RET:5:223691,Station Zuid,,Frequentbus,0,,899301.0,0,
75871,1543,122706991,RET:15:224446,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,1543,122706955,RET:15:224389,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,1543,122706889,RET:15:224296,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75753,1543,122706834,RET:10:224274,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75753,1543,122706822,RET:10:224256,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75753,1543,122706794,RET:10:224207,Crooswijk via R'dam CS,,Frequentbus,0,,943343.0,0,
75753,1543,122706709,RET:10:224070,Station Schiedam Centrum,,Frequentbus,1,,947682.0,0,
75871,1543,122706899,RET:15:224309,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,1543,122706935,RET:15:224360,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
75871,1543,122706943,RET:15:224370,Rotterdam Centraal,,Frequentbus,0,,944207.0,0,
32566,1543,122707157,RET:5:223689,Overschie,,Frequentbus,1,,945683.0,0,
32566,1543,122707227,RET:5:223788,Overschie,,Frequentbus,1,,945683.0,0,
32566,1543,122707234,RET:5:223798,Station Zuid,,Frequentbus,0,,899301.0,0,
32566,1543,122707240,RET:5:223807,Station Zuid,,Frequentbus,0,,899301.0,0,
32563,1543,122707436,RET:6:223924,Centraal Station via Airport,,Frequentbus,1,,919756.0,0,
32563,1543,122707469,RET:6:223966,Rotterdam Airport,,Frequentbus,0,,919758.0,0,
32563,1543,122707410,RET:6:223889,Meijersplein Metro via Airport,,Frequentbus,0,,919757.0,0,
75753,1543,122706718,RET:10:224084,Crooswijk via R'dam CS,,Frequentbus,0,,943343.0,0,
75871,1543,122706999,RET:15:224459,Zuidplein,,Frequentbus,1,,947686.0,0,
32566,1543,122707242,RET:5:223810,Station Zuid,,Frequentbus,0,,899301.0,0,
63635,2232,123435361,CXX:Z436:149,Rotterdam Zuidplein,,R-NET,0,,930195.0,1,
63635,2232,123435353,CXX:Z436:132,Dirksland Ziekenhuis,,R-NET,1,,934545.0,1,
63635,2232,123087709,CXX:Z436:64,Dirksland Ziekenhuis,,R-NET,1,,934545.0,1,
63635,2232,123087693,CXX:Z436:45,Rotterdam Zuidplein,,R-NET,0,,930195.0,1,
63635,2232,122446235,CXX:Z436:116,Dirksland Ziekenhuis,,R-NET,1,,934545.0,1,
41210,227,121350637,IFF:IC:646,Rotterdam Centraal,646.0,Intercity,1,,903136.0,0,1.0
17748,1799,123734057,IFF:SPR:4036,Uitgeest,4036.0,Sprinter,1,,928217.0,0,1.0
41210,2182,122481559,IFF:IC:666,Rotterdam Centraal,666.0,Intercity,1,,903136.0,0,1.0
1364,2244,123434548,CXX:Z395:31,Rotterdam Zuidplein,,Kernnetlijn,0,,900273.0,2,
1364,2244,123434546,CXX:Z395:29,Rotterdam Zuidplein,,Kernnetlijn,0,,900273.0,2,
315,2877,125586279,ARR:15020:7020,Dordrecht Merwekade,,Waterbus,1,,909400.0,1,1.0
315,2877,125586282,ARR:15020:7035,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
315,2877,125586274,ARR:15020:7003,Rotterdam Erasmusbrug,,Waterbus,0,,909401.0,1,1.0
61366,1112,122106698,ARR:18181:1013,Schiedam Maasboulevard,,,0,,940887.0,0,1.0
