route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
67394,IFF:NS,Intercity,Den Haag Centraal <-> Eindhoven Centraal IC1100,,2,,,
67399,IFF:NS,Intercity,Den Haag Centraal <-> Amersfoort Centraal IC2000,,2,,,
67402,IFF:NS,Intercity,Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal,,2,,,
75940,HTM,2,Lijn Kraaijenstein - Leidschendam Leidsenhage,,0,,,https://www.htm.nl/reisinformatie/tram-2
75941,HTM,19,Lijn Delft Noord - Leidschendam leidsenhage,,0,,,https://www.htm.nl/reisinformatie/tram-19
75961,ARR,382,Waddinxveen via Zoetermeer A12 - Den Haag Centraal,,3,,,
75962,ARR,383,Rotterdam - Den Haag Centraal,,3,,,
75963,ARR,384,Waddinxveen via Moerkapelle - Den Haag Centraal,,3,,,
75964,ARR,386,Gouda via Moerkapelle - Den Haag Centraal,,3,,,
71298,EBS,284,Delfgauw - Pijnacker - Den Haag Ypenburg,,3,,,
73489,IFF:NS,Sprinter,Den Haag Centraal <-> Tiel SPR6900,,2,,,
75749,IFF:NS,Snelbus i.p.v. trein,Snelbus i.p.v. trein Den Haag HS <-> Leiden Centraal,,3,,,
66117,IFF:NS,Intercity,Venlo <-> Dordrecht IC3700,,2,,,
76231,HTM,34,Lijn 34,,0,,,https://www.htm.nl/reisinformatie/tram-34
76232,HTM,2,Lijn 2K Kraaijenstein - Station Laan van NOI,,0,,,https://www.htm.nl/reisinformatie/tram-2
76233,HTM,29,Lijn 29: Station Rijswijk - Oude Waalsdorperweg,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-29
76229,HTM,2,Lijn Kraaijenstein - Leidschendam Leidsenhage,,0,,,https://www.htm.nl/reisinformatie/tram-2
76230,HTM,19,Lijn Delft Noord - Leidschendam leidsenhage,,0,,,https://www.htm.nl/reisinformatie/tram-19
73579,HTM,31,RVV Lijn 1,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-31
41839,HTM,23,Lijn 23: Scheveningen Noorderstrand - Kijkduin,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-23
73578,HTM,3,Lijn 3K,,0,be1fa1,ffffff,https://www.htm.nl/reisinformatie/tram-3
75062,IFF:NS,Intercity,Brussel-Zuid/Midi <-> Den Haag HS IC9600,,2,,,
74384,HTM,30,Lijn 30: Den Haag Centraal Station - Duinzigt,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-30
75869,RET,E,Lijn E,,1,003a8c,ffffff,
41836,HTM,24,Lijn 24: Kijkduin - Station Mariahoeve,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-24
41838,HTM,21,Lijn 21: Vrederust - Scheveningen Noorderstrand,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-21
62081,HTM,20,Lijn 20: Centraal Station - Duinzigt,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-20
62082,HTM,22,Lijn 22: Duindorp - Rijswijk De Schilp,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-22
66765,IFF:NS,Intercity,Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal,,2,,,
17305,ARR,90,Den Haag Centraal - Lisse,,3,,,
41835,HTM,25,Lijn 25: Vrederust - Grote Markt,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-25
62084,HTM,28,Lijn 28: Zuiderstrand - Voorburg Station,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-28
63415,HTM,3,Lijn 3,,0,be1fa1,ffffff,https://www.htm.nl/reisinformatie/tram-3
63155,HTM,16,Wateringen - Den Haag Statenkwartier,,0,,,https://www.htm.nl/reisinformatie/tram-16
63163,HTM,1,Scheveningen Noord - Delft Tanthof,,0,,,https://www.htm.nl/reisinformatie/tram-1
72564,EBS,37,Den Haag - Delft - Rotterdam Airport,,3,,,
66239,EBS,30,Zoetermeer - Rijswijk - Naaldwijk,,3,,,
66240,EBS,31,Den Haag - 's-Gravenzande - Hoek van Holland,,3,,,
66242,EBS,43,Den Haag - Wassenaar - Leiden,,3,,,
66250,EBS,46,Den Haag - Leidschendam - Voorschoten,,3,,,
66251,EBS,45,Den Haag - Leidschendam - Leiden,,3,,,
66252,EBS,44,Den Haag - Wassenaar,,3,,,
72565,EBS,60,Delft - Nootdorp,,3,,,
63410,HTM,12,Den Haag Duindorp - Station Den Haag HS,,0,,,https://www.htm.nl/reisinformatie/tram-12
63412,HTM,6,Den Haag Leyenburg - Leidschendam Noord,,0,,,https://www.htm.nl/reisinformatie/tram-6
63413,HTM,4,Lijn 4,,0,ef7100,000000,https://www.htm.nl/reisinformatie/tram-4
65637,HTM,15,Nootdorp - Kalvermarkt,,0,,,https://www.htm.nl/reisinformatie/tram-15
65638,HTM,17,Centrum - Wateringen,,0,,,https://www.htm.nl/reisinformatie/tram-17
65891,HTM,11,Scheveningen Haven - Rijswijkseplein,,0,,,https://www.htm.nl/reisinformatie/tram-11
65896,HTM,9,Vrederust -Scheveningen Noorderstrand,,0,,,https://www.htm.nl/reisinformatie/tram-9
45194,IFF:NS,Sprinter,Den Haag Centraal <-> Gouda Goverwelle SPR6800,,2,,,
66223,EBS,456,Den Haag - Naaldwijk - Schiedam,,3,,,
66226,EBS,827,Den Haag - Honselersdijk Bloemenveiling,,3,,,
66233,EBS,51,Delft - Rijswijk - Den Haag,,3,,,
66742,ARR,685,Oegstgeest Leidsebuurt - Den Haag Centraal,,3,,,
17601,IFF:NS,Intercity,Den Haag Centraal <-> Amersfoort Schothorst IC11700,,2,,,
41837,HTM,26,Lijn 26: Kijkduin - Voorburg Station,,3,,,https://www.htm.nl/reisinformatie/htmbuzz-26
41223,IFF:NS,Intercity,Den Haag Centraal <-> Leeuwarden IC1800,,2,,,
17661,IFF:NS,Intercity,Amsterdam Centraal <-> Den Haag Centraal IC2100,,2,,,
17705,IFF:NS,Intercity,Den Haag Centraal <-> Enschede IC1700,,2,,,
17782,IFF:NS,Intercity,Den Haag Centraal <-> Groningen IC700,,2,,,
46036,IFF:NS,Sprinter,Den Haag Centraal <-> Amsterdam Centraal SPR4600,,2,,,
52897,ARR,383,Krimpen aan den IJssel - Den Haag Centraal,,3,,,
52899,ARR,385,Sassenheim via Noordwijk - Den Haag Centraal,,3,,,
52895,ARR,381,Alphen aan den Rijn via Zoetermeer - Den Haag,,3,,,
52894,ARR,380,Alphen aan den Rijn via Zoetermeer - Den Haag,,3,,,
41202,IFF:NS,Intercity,Vlissingen <-> Amsterdam Centraal IC2200,,2,,,
5461,ARR,45,Den Haag Centraal - Leiden Centraal,,3,,,
43187,IFF:NS,Sprinter,Den Haag Centraal <-> Dordrecht SPR5000,,2,,,
41238,IFF:NS,Intercity,Lelystad Centrum <-> Dordrecht IC2400,,2,,,
41239,IFF:NS,Sprinter,Den Haag Centraal <-> Dordrecht SPR5100,,2,,,
17828,IFF:NS,Sprinter,Haarlem <-> Den Haag Centraal SPR6300,,2,,,
40788,IFF:NS,Snelbus i.p.v. trein,Snelbus i.p.v. trein Delft <-> Den Haag HS,,3,,,
