route_id,service_id,trip_id,realtime_trip_id,trip_headsign,trip_short_name,trip_long_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66242,542,125353031,EBS:3043:1039,Leiden via Wassenaar,,,0,,906661.0,1,
66242,542,125353044,EBS:3043:1052,Den Haag via Wassenaar,,,1,,947823.0,1,
66242,542,125353025,EBS:3043:1033,Leiden via Wassenaar,,,0,,906661.0,1,
66242,542,125353018,EBS:3043:1026,Den Haag via Wassenaar,,,1,,947823.0,1,
63412,793,123440481,HTM:6:60096,Den Haag  Leyenburg,,,1,,945373.0,2,
63412,793,123440529,HTM:6:60144,Den Haag  Leyenburg,,,1,,945373.0,2,
63412,793,123440408,HTM:6:60020,Den Haag  Leyenburg,,,1,,945373.0,2,
63412,793,123440446,HTM:6:60061,Leidschendam  Noord,,,0,,945372.0,2,
63412,793,123440572,HTM:6:60191,Leidschendam  Noord,,,0,,945372.0,2,
63412,793,123440428,HTM:6:60043,Leidschendam  Noord,,,0,,945372.0,2,
63412,793,123440585,HTM:6:60205,Leidschendam  Noord,,,0,,945372.0,2,
63412,793,123440539,HTM:6:60154,Den Haag  Leyenburg,,,1,,945373.0,2,
63412,793,123440483,HTM:6:60098,Den Haag  Leyenburg,,,1,,945373.0,2,
63412,793,123440567,HTM:6:60186,Den Haag  Leyenburg,,,1,,945373.0,2,
63410,793,123440263,HTM:12:120040,Den Haag  Duindorp,,,1,,945350.0,2,
63410,793,123440310,HTM:12:120087,Station  Den Haag HS,,,0,,945352.0,2,
63410,793,123440250,HTM:12:120027,Station  Den Haag HS,,,0,,945352.0,2,
63410,793,123440253,HTM:12:120030,Den Haag  Duindorp,,,1,,945350.0,2,
63410,793,123440340,HTM:12:120117,Station  Den Haag HS,,,0,,945352.0,2,
63410,793,123440360,HTM:12:120138,Den Haag  Duindorp,,,1,,945350.0,2,
63410,793,123440374,HTM:12:120153,Station  Den Haag HS,,,0,,945352.0,2,
